+---------------------------------------------+
PARAMETROS UTILIZADOS: 
Função de otimização: 
Taxa de Cromossomo: 0.25
Taxa de Mutação: 0.5
Quantidade de Gerações: 100
Tamanho da População: 150
Tamanho do Cromossomo: 10
Taxa de elitismo: 1
+---------------------------------------------+
Geração, Fitness Total, Fitness Médio, Fitness Máximo, Fitness Minimo
39.0,-9390.213,-62.601418,-49.753757,-70.66443
40.0,-9400.489,-62.66993,-49.753757,-70.66443
41.0,-9416.566,-62.77711,-49.753757,-70.66443
42.0,-9431.794,-62.878628,-49.753757,-70.66443
43.0,-9449.41,-62.996067,-49.753757,-70.66443
44.0,-9471.152,-63.141014,-49.753757,-70.66443
45.0,-9477.165,-63.1811,-49.753757,-70.66443
46.0,-9494.173,-63.294487,-49.753757,-70.66443
47.0,-9516.312,-63.442078,-49.753757,-70.66443
48.0,-9538.444,-63.58963,-49.753757,-70.66443
49.0,-9544.612,-63.63075,-49.753757,-70.66443
50.0,-9565.396,-63.76931,-49.753757,-70.66443
51.0,-9585.416,-63.902775,-49.753757,-70.66443
52.0,-9605.507,-64.03671,-49.753757,-70.66443
53.0,-9609.274,-64.06183,-49.753757,-70.66443
54.0,-9627.428,-64.18285,-49.753757,-70.66443
55.0,-9660.342,-64.402275,-49.753757,-70.66443
56.0,-9663.311,-64.42207,-49.753757,-70.66443
57.0,-9671.787,-64.478584,-49.753757,-70.66443
58.0,-9673.306,-64.4887,-49.753757,-70.66443
59.0,-9678.879,-64.525856,-49.753757,-70.66443
60.0,-9687.743,-64.58495,-49.753757,-70.66443
61.0,-9694.894,-64.63262,-49.753757,-70.66443
62.0,-9713.417,-64.75611,-49.753757,-70.66443
63.0,-9713.488,-64.75659,-49.753757,-70.66443
64.0,-9727.705,-64.851364,-49.753757,-70.66443
65.0,-9738.937,-64.92625,-49.753757,-70.66443
66.0,-9757.708,-65.051384,-49.753757,-70.66443
67.0,-9764.721,-65.09814,-49.753757,-70.66443
68.0,-9780.83,-65.205536,-49.753757,-70.66443
69.0,-9805.82,-65.37214,-49.753757,-70.66443
70.0,-9822.623,-65.48415,-49.753757,-70.66443
71.0,-9831.534,-65.543564,-49.753757,-70.66443
72.0,-9837.148,-65.580986,-49.753757,-70.66443
73.0,-9845.713,-65.638084,-49.753757,-70.66443
74.0,-9862.45,-65.749664,-49.753757,-70.66443
75.0,-9908.835,-66.0589,-49.753757,-70.66443
76.0,-9944.877,-66.29918,-49.753757,-70.66443
77.0,-9954.194,-66.3613,-49.753757,-70.66443
78.0,-9962.421,-66.41614,-49.753757,-70.66443
79.0,-9973.278,-66.488525,-49.753757,-70.66443
80.0,-9973.798,-66.49199,-49.753757,-70.66443
81.0,-9981.684,-66.544556,-49.753757,-70.66443
82.0,-9981.684,-66.544556,-49.753757,-70.66443
83.0,-9985.055,-66.56703,-49.753757,-70.66443
84.0,-9996.568,-66.64379,-49.753757,-70.66443
85.0,-9996.568,-66.64379,-49.753757,-70.66443
86.0,-9996.568,-66.64379,-49.753757,-70.66443
87.0,-10016.059,-66.77373,-49.753757,-70.66443
88.0,-10021.664,-66.8111,-49.753757,-70.66443
89.0,-10037.029,-66.91353,-49.753757,-70.66443
90.0,-10038.028,-66.92019,-49.753757,-70.66443
91.0,-10045.8545,-66.97237,-49.753757,-70.66443
92.0,-10053.753,-67.02502,-49.753757,-70.66443
93.0,-10055.825,-67.03883,-49.753757,-70.66443
94.0,-10066.913,-67.112755,-49.753757,-70.66443
95.0,-10080.57,-67.203804,-49.753757,-70.66443
96.0,-10097.207,-67.31471,-49.753757,-70.66443
97.0,-10101.511,-67.34341,-49.753757,-70.66443
98.0,-10109.733,-67.398224,-49.753757,-70.66443
99.0,-10115.299,-67.435326,-49.753757,-70.66443
